Round,Table,East Seat,South Seat,West Seat,North Seat
5,1,AnimatedElf,snowHaku,Eruni,ValentineLuv
5,2,ACheerfulPanic,Mandarin Duck,gostosinha,Caldoran
5,3,Caek,DemoKracker,Cous1000,CMC
5,4,Centrivy,Bbell3000,ysrafil,Eile
5,5,Jabberwock,AndyJango,adofai,Autissima
5,6,bakasenpai,bobland,cinabari,Morning Rescue
5,7,LiterallyMe,adonis_minus_20,Perry,Alp314
5,8,chev,darkboss,Dojima,Danchi
5,9,bladeclara42,hwnglk25,artbuddy,DaikaNyan
5,10,AgentSeto,FalconHit,Derinov,Ding
5,11,Serenity312,Bouche,LangKhach,Eden
5,12,AlexPlayer7,cunny,budgetloaf,Bajar
5,13,Linabell,Plein,Asahinacchi,Cerradin
5,14,WishMeLuck!,Hannya般若,Bobolai,Aestival
